Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-07-20,87.4,88.17,87.2,88.06,4816684.0,0.0,1.0,86.89237127219927,87.65789902825868,86.69353289400202,87.5485379202502,4816684.0
2018-07-19,87.86,88.48,87.41,87.72,4881551.0,0.0,1.0,87.34969954205295,87.96609851446443,86.90231319110912,87.21051267731487,4881551.0
2018-07-18,88.33,89.19,87.9439,88.07,5044809.0,0.0,1.0,87.81696973081648,88.67197475706467,87.4331122417067,87.55847983916006,5044809.0
2018-07-17,87.4,88.7,87.4,88.19,5908614.0,0.0,1.0,86.89237127219927,88.1848207304814,86.89237127219927,87.6777828660784,5908614.0
2018-07-16,87.62,87.72,86.83,87.64,4447219.0,0.0,1.0,87.11109348821624,87.21051267731487,86.3256818943371,87.13097732603596,4447219.0
2018-07-13,86.52,87.99,86.5,87.7,6394443.0,0.0,1.0,86.01748240813134,87.47894448788115,85.99759857031162,87.19062883949515,6394443.0
2018-07-12,86.94,87.41,86.22,86.52,4888799.0,0.0,1.0,86.43504300234558,86.90231319110912,85.71922484083548,86.01748240813134,4888799.0
2018-07-11,87.06,87.15,86.39,86.53,5592012.0,0.0,1.0,86.55434602926394,86.6438232994527,85.88823746230314,86.02742432704122,5592012.0
2018-07-10,85.93,87.33,85.88,87.21,6043666.0,0.0,1.0,85.43090919244946,86.82277783983022,85.38119959790014,86.70347481291186,6043666.0
2018-07-09,85.0,86.47,84.77,85.93,6573515.0,0.0,1.0,84.50631073383224,85.96777281358204,84.27764659890539,85.43090919244946,6573515.0
2018-07-06,84.2,84.865,83.82,84.51,5623583.0,0.0,1.0,83.71095722104323,84.37209482854908,83.33316430246845,84.01915670724897,5623583.0
2018-07-05,84.94,85.58,84.2656,84.57,5367491.0,0.0,1.0,84.44665922037306,85.08294203060427,83.77617620909193,84.07880822070814,5367491.0
2018-07-03,84.09,85.05,84.09,84.44,4396238.0,0.0,1.0,83.60159611303474,84.55602032838155,83.60159611303474,83.94956327487992,4396238.0
2018-07-02,85.65,85.94,83.4,84.0,8124833.0,0.0,1.0,85.1525354629733,85.44085111135932,82.91560370825422,83.51211884284598,8124833.0
2018-06-29,85.9,86.2,85.52,85.65,8260329.0,0.0,1.0,85.40108343571988,85.69934100301575,85.02329051714509,85.1525354629733,8260329.0
2018-06-28,86.85,87.29,85.685,85.86,8465915.0,0.0,1.0,86.34556573215681,86.78301016419078,85.18733217915782,85.36131576008042,8465915.0
2018-06-27,85.9,87.49,85.55,86.89,10299382.0,0.0,1.0,85.40108343571988,86.98184854238802,85.05311627387468,86.38533340779627,10299382.0
2018-06-26,86.53,87.05,85.76,85.98,10126155.0,0.0,1.0,86.02742432704122,86.54440411035407,85.2618965709818,85.48061878699878,10126155.0
2018-06-25,84.59,86.6,84.48,86.47,15939481.0,0.0,1.0,84.09869205852787,86.09701775941025,83.98933095051939,85.96777281358204,15939481.0
2018-06-22,84.46,84.85,84.1,84.82,11002946.0,0.0,1.0,83.96944711269965,84.35718195018428,83.61153803194459,84.3273561934547,11002946.0
2018-06-21,83.4,84.55,82.895,84.21,8090789.0,0.0,1.0,82.91560370825422,84.05892438288842,82.41353680330614,83.72089913995308,8090789.0
