Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-06-21,142.59,143.14,140.83,141.25,3887629.0,0.0,1.0,142.59,143.14,140.83,141.25,3887629.0
2018-06-20,144.22,144.52,142.41,142.63,3328267.0,0.0,1.0,144.22,144.52,142.41,142.63,3328267.0
2018-06-19,143.12,144.22,142.95,143.9,3481239.0,0.0,1.0,143.12,144.22,142.95,143.9,3481239.0
2018-06-18,144.18,144.52,143.14,144.48,3955833.0,0.0,1.0,144.18,144.52,143.14,144.48,3955833.0
2018-06-15,144.9,145.47,143.7,145.39,9115939.0,0.0,1.0,144.9,145.47,143.7,145.39,9115939.0
2018-06-14,146.65,146.98,145.09,145.2,3326233.0,0.0,1.0,146.65,146.98,145.09,145.2,3326233.0
2018-06-13,146.79,147.47,146.2,146.35,2967991.0,0.0,1.0,146.79,147.47,146.2,146.35,2967991.0
2018-06-12,147.1,147.52,146.62,146.87,2640503.0,0.0,1.0,147.1,147.52,146.62,146.87,2640503.0
2018-06-11,146.62,147.41,146.14,146.58,3259986.0,0.0,1.0,146.62,147.41,146.14,146.58,3259986.0
2018-06-08,145.0,146.43,144.37,146.14,5210116.0,0.0,1.0,145.0,146.43,144.37,146.14,5210116.0
2018-06-07,145.0,146.7,144.93,145.36,4263382.0,0.0,1.0,145.0,146.7,144.93,145.36,4263382.0
2018-06-06,144.34,144.72,143.54,144.71,3220139.0,0.0,1.0,144.34,144.72,143.54,144.71,3220139.0
2018-06-05,143.05,144.08,143.04,143.7,2835837.0,0.0,1.0,143.05,144.08,143.04,143.7,2835837.0
2018-06-04,142.3,143.17,142.18,143.04,3035198.0,0.0,1.0,142.3,143.17,142.18,143.04,3035198.0
2018-06-01,142.43,142.84,141.62,141.95,3856317.0,0.0,1.0,142.43,142.84,141.62,141.95,3856317.0
2018-05-31,142.81,142.81,141.05,141.31,6829459.0,0.0,1.0,142.81,142.81,141.05,141.31,6829459.0
2018-05-30,141.9,143.1,141.82,142.62,5118530.0,0.0,1.0,141.9,143.1,141.82,142.62,5118530.0
2018-05-29,142.53,142.89,140.21,141.22,4537638.0,0.0,1.0,142.53,142.89,140.21,141.22,4537638.0
2018-05-25,143.9,144.57,143.46,143.64,4914194.0,0.0,1.0,143.9,144.57,143.46,143.64,4914194.0
2018-05-24,144.39,144.48,142.95,144.07,3398601.0,0.0,1.0,144.39,144.48,142.95,144.07,3398601.0
